scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark
2026-05-07 22:30:40,2026-05-07,1,游泳馆,16:00-17:30,14,60,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,1,游泳馆,16:00-17:30,14,60,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,1,游泳馆,16:00-17:30,14,60,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,1,游泳馆,18:00-19:30,15,60,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,1,游泳馆,20:00-21:30,22,60,可预约,
2026-05-07 21:00:42,2026-05-07,1,游泳馆,20:00-21:30,22,60,可预约,
2026-05-07 21:30:35,2026-05-07,1,游泳馆,20:00-21:30,22,60,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,1,游泳馆,20:00-21:30,22,60,不开放/已过期,
2026-05-07 22:30:40,2026-05-07,1,游泳馆,20:00-21:30,22,60,不开放/已过期,
2026-05-07 23:00:54,2026-05-07,1,游泳馆,20:00-21:30,22,60,不开放/已过期,
2026-05-07 23:30:49,2026-05-07,1,游泳馆,20:00-21:30,22,60,不开放/已过期,
2026-05-07 20:30:33,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 21:00:42,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 21:30:35,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
2026-05-07 22:00:47,2026-05-07,2,乒乓球厅-10号,07:00-08:00,0,1,不开放/已过期,
