scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark,condition,temperature,feels_like,wind_scale,precip,humidity,aqi
2026-05-18 00:30:40,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,多云,21,18,4,0.0,65,28
2026-05-18 01:00:47,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,21,14,6,0.0,68,28
2026-05-18 01:30:43,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,21,18,4,0.0,72,26
2026-05-18 02:00:47,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,21,16,5,0.0,80,26
2026-05-18 03:00:46,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,20,15,5,0.0,79,29
2026-05-18 03:30:40,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,20,17,4,0.0,83,31
2026-05-18 04:00:47,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,20,14,6,0.0,86,31
2026-05-18 04:30:43,2026-05-18,1,游泳馆,06:30-08:00,17,60,可预约,￥0.0,阴,20,15,5,0.0,87,31
2026-05-18 05:00:44,2026-05-18,1,游泳馆,06:30-08:00,16,60,可预约,￥0.0,阴,20,15,6,0.0,89,31
2026-05-18 05:30:44,2026-05-18,1,游泳馆,06:30-08:00,15,60,可预约,￥0.0,阴,20,15,6,0.0,89,30
2026-05-18 06:00:43,2026-05-18,1,游泳馆,06:30-08:00,18,60,可预约,￥0.0,阴,20,15,6,0.0,89,30
2026-05-18 07:00:46,2026-05-18,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,20,16,5,0.0,89,30
2026-05-18 07:30:42,2026-05-18,1,游泳馆,06:30-08:00,20,60,可预约,￥0.0,阴,20,18,4,0.0,88,28
2026-05-18 07:50:40,2026-05-18,1,游泳馆,06:30-08:00,20,60,可预约,￥0.0,阴,20,16,5,0.0,87,28
2026-05-18 07:53:29,2026-05-18,1,游泳馆,06:30-08:00,20,60,可预约,￥0.0,阴,20,16,5,0.0,87,28
2026-05-18 07:56:37,2026-05-18,1,游泳馆,06:30-08:00,20,60,可预约,￥0.0,阴,20,16,5,0.0,87,28
2026-05-18 07:59:29,2026-05-18,1,游泳馆,06:30-08:00,20,60,可预约,￥0.0,阴,20,16,5,0.0,87,28
