scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark,condition,temperature,feels_like,wind_scale,precip,humidity,aqi
2026-06-08 00:30:56,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,17,17,2,0.0,78,30
2026-06-08 01:01:00,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,17,17,2,0.0,86,30
2026-06-08 01:30:56,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,16,16,2,0.0,86,30
2026-06-08 02:31:00,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,15,15,1,0.0,85,27
2026-06-08 03:00:56,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,15,15,1,0.0,85,27
2026-06-08 03:30:53,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,15,15,1,0.0,85,27
2026-06-08 04:30:48,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,15,15,1,0.0,83,23
2026-06-08 05:00:55,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,15,15,1,0.0,89,23
2026-06-08 05:30:48,2026-06-08,1,游泳馆,06:30-08:00,19,60,可预约,￥0.0,阴,15,15,1,0.0,93,22
2026-06-08 06:01:04,2026-06-08,1,游泳馆,06:30-08:00,20,60,可预约,￥0.0,阴,15,15,1,0.0,95,22
2026-06-08 06:30:48,2026-06-08,1,游泳馆,06:30-08:00,21,60,可预约,￥0.0,阴,16,17,1,0.0,93,28
2026-06-08 07:01:01,2026-06-08,1,游泳馆,06:30-08:00,23,60,可预约,￥0.0,多云,16,16,1,0.0,63,28
2026-06-08 07:30:47,2026-06-08,1,游泳馆,06:30-08:00,24,60,可预约,￥0.0,阴,19,19,1,0.0,60,35
2026-06-08 07:50:45,2026-06-08,1,游泳馆,06:30-08:00,24,60,可预约,￥0.0,阴,19,18,2,0.0,55,35
2026-06-08 07:53:37,2026-06-08,1,游泳馆,06:30-08:00,24,60,可预约,￥0.0,阴,19,18,2,0.0,55,35
2026-06-08 07:56:38,2026-06-08,1,游泳馆,06:30-08:00,24,60,可预约,￥0.0,阴,19,18,2,0.0,55,35
