scrape_time,date,site_id,venue_name,time_range,booked,total,status,remark
2026-05-07 06:39:15,2026-05-07,5,健身中心,18:00-19:30,27,110,可预约,
2026-05-07 07:40:03,2026-05-07,5,健身中心,18:00-19:30,28,110,可预约,
2026-05-07 09:52:44,2026-05-07,5,健身中心,18:00-19:30,37,110,可预约,
2026-05-07 12:24:41,2026-05-07,5,健身中心,18:00-19:30,61,110,可预约,
2026-05-06 23:39:20,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-06 23:52:06,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-06 23:54:16,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 00:17:25,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 00:31:03,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 01:57:20,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 03:29:30,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 04:53:05,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 05:51:26,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 06:39:15,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 07:40:03,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 09:52:44,2026-05-07,5,健身中心,20:00-21:30,11,110,可预约,
2026-05-07 12:24:41,2026-05-07,5,健身中心,20:00-21:30,20,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,07:00-08:30,18,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,07:00-08:30,24,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,08:30-10:00,27,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,08:30-10:00,44,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,10:00-11:30,81,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,10:00-11:30,84,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,12:00-13:30,14,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,12:00-13:30,36,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,14:00-15:30,80,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,14:00-15:30,80,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,16:00-17:30,2,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,16:00-17:30,7,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,18:00-19:30,2,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,18:00-19:30,5,110,可预约,
2026-05-07 09:52:44,2026-05-08,5,健身中心,20:00-21:30,0,110,可预约,
2026-05-07 12:24:41,2026-05-08,5,健身中心,20:00-21:30,0,110,可预约,
